,Title,Link,Location,Price,Image,Fuel Type,Type,Year,Kms Covered,Brand
2422,Toyota Land Cruiser,https://www.olx.in/item/cars-c84-used-toyota-land-cruiser-in-vikaspuri-delhi-iid-1830237079?rank=22,Vikaspuri,23099999,https://apollo.olx.in:443/v1/files/nxcokpmzai4q1-IN/image;s=150x0;q=50;f=webp;,Petrol,Automatic,2024,17000.0,Toyota
2457,Toyota Land Cruiser,https://www.olx.in/item/cars-c84-used-toyota-land-cruiser-in-punjabi-bagh-west-delhi-iid-1826168116?rank=17,Punjabi Bagh West,14800000,https://apollo.olx.in:443/v1/files/vds7ml45h5qm2-IN/image;s=150x0;q=50;f=webp;,Petrol,Automatic,2024,40000.0,Toyota
2496,Toyota VELLFIRE,https://www.olx.in/item/cars-c84-used-toyota-vellfire-in-dwarka-delhi-iid-1819503556?rank=16,Dwarka,9500000,https://apollo.olx.in:443/v1/files/br20nplpz1ig1-IN/image;s=150x0;q=50;f=webp;,,,2022,50150.0,Toyota
2504,Toyota VELLFIRE,https://www.olx.in/item/cars-c84-used-toyota-vellfire-in-karampura-delhi-iid-1832592104?rank=24,Karampura,8700000,https://apollo.olx.in:443/v1/files/wvssb3dp7aw42-IN/image;s=150x0;q=50;f=webp;,Petrol,Automatic,2022,57000.0,Toyota
2528,Toyota VELLFIRE,https://www.olx.in/item/cars-c84-used-toyota-vellfire-in-naraina-delhi-iid-1832127648?rank=8,Naraina,11700000,https://apollo.olx.in:443/v1/files/bpx3jwnbg24d1-IN/image;s=150x0;q=50;f=webp;,Petrol,Automatic,2025,1.0,Toyota
2596,Toyota Land Cruiser,https://www.olx.in/item/cars-c84-used-toyota-land-cruiser-in-naraina-delhi-iid-1831701708?rank=36,Naraina,19450000,https://apollo.olx.in:443/v1/files/98l51vtjo0ql1-IN/image;s=150x0;q=50;f=webp;,Diesel,Automatic,2025,1.0,Toyota
2650,Toyota Land Cruiser,https://www.olx.in/item/cars-c84-used-toyota-land-cruiser-in-naraina-delhi-iid-1834112692?rank=10,Naraina,19400000,https://apollo.olx.in:443/v1/files/pn3x6iinqdb9-IN/image;s=150x0;q=50;f=webp;,Diesel,Automatic,2025,1.0,Toyota
2779,Toyota VELLFIRE,https://www.olx.in/item/cars-c84-used-toyota-vellfire-in-naraina-delhi-iid-1832705695?rank=20,Naraina,11600000,https://apollo.olx.in:443/v1/files/z4ifpvzt6jf93-IN/image;s=150x0;q=50;f=webp;,Petrol,Automatic,2025,1.0,Toyota
2805,Toyota VELLFIRE,https://www.olx.in/item/cars-c84-used-toyota-vellfire-in-naraina-delhi-iid-1803038011?rank=6,Naraina,11850000,https://apollo.olx.in:443/v1/files/c8y4xf6pfo7d3-IN/image;s=150x0;q=50;f=webp;,Petrol,Automatic,2025,1.0,Toyota
2848,Toyota Land Cruiser,https://www.olx.in/item/cars-c84-used-toyota-land-cruiser-in-greater-kailash-delhi-iid-1836367434?rank=9,Greater Kailash,22100000,https://apollo.olx.in:443/v1/files/yhn6ybe25fd-IN/image;s=150x0;q=50;f=webp;,Diesel,Automatic,2025,4000.0,Toyota
2849,Toyota Land Cruiser,https://www.olx.in/item/cars-c84-used-toyota-land-cruiser-in-ashok-vihar-delhi-iid-1836367099?rank=10,Ashok Vihar,22000000,https://apollo.olx.in:443/v1/files/bo7yjluhgxx13-IN/image;s=150x0;q=50;f=webp;,Diesel,Automatic,2025,4000.0,Toyota
2858,Toyota Land Cruiser,https://www.olx.in/item/cars-c84-used-toyota-land-cruiser-in-dlf-city-gurgaon-iid-1832816878?rank=19,DLF City,26100000,https://apollo.olx.in:443/v1/files/iacv6ge8jezt-IN/image;s=150x0;q=50;f=webp;,Petrol,Automatic,2025,50.0,Toyota
4884,Land Rover Defender,https://www.olx.in/item/cars-c84-used-land-rover-defender-in-paschim-vihar-delhi-iid-1836350387?rank=17,Paschim Vihar,12950000,https://apollo.olx.in:443/v1/files/w5mzaysus73f2-IN/image;s=150x0;q=50;f=webp;,Petrol,Automatic,2026,120.0,Land Rover
4890,Mercedes-Benz G Class,https://www.olx.in/item/cars-c84-used-mercedes-benz-g-class-in-rajouri-garden-delhi-iid-1835218262?rank=24,Rajouri Garden,24975000,https://apollo.olx.in:443/v1/files/w9aaun363ypq-IN/image;s=150x0;q=50;f=webp;,Diesel,Automatic,2023,24000.0,Mercedes-Benz
4925,Mercedes-Benz Maybach S-Class,https://www.olx.in/item/cars-c84-used-mercedes-benz-maybach-s-class-in-rajouri-garden-delhi-iid-1835216313?rank=19,Rajouri Garden,18975000,https://apollo.olx.in:443/v1/files/is1ao1nt9hy81-IN/image;s=150x0;q=50;f=webp;,Petrol,Automatic,2022,22100.0,Mercedes-Benz
4960,Mercedes-Benz GLE,https://www.olx.in/item/cars-c84-used-mercedes-benz-gle-in-subhash-nagar-delhi-iid-1836347655?rank=14,Subhash Nagar,8100000,https://apollo.olx.in:443/v1/files/b5xu4hviqhmt1-IN/image;s=150x0;q=50;f=webp;,Diesel,Automatic,2023,19000.0,Mercedes-Benz
5030,Land Rover Defender,https://www.olx.in/item/cars-c84-used-land-rover-defender-in-rajouri-garden-delhi-iid-1835209494?rank=5,Rajouri Garden,11775000,https://apollo.olx.in:443/v1/files/qd9807nano5r-IN/image;s=150x0;q=50;f=webp;,Petrol,Automatic,2024,10800.0,Land Rover
5046,Land Rover Range Rover,https://www.olx.in/item/cars-c84-used-land-rover-range-rover-in-vikaspuri-delhi-iid-1818064951?rank=21,Vikaspuri,13575000,https://apollo.olx.in:443/v1/files/ov1ski0o9ysv-IN/image;s=150x0;q=50;f=webp;,Petrol,Automatic,2021,52000.0,Land Rover
5062,Land Rover Range Rover Sport,https://www.olx.in/item/cars-c84-used-land-rover-range-rover-sport-in-rajouri-garden-delhi-iid-1835208076?rank=38,Rajouri Garden,12975000,https://apollo.olx.in:443/v1/files/9s7abofwya0i-IN/image;s=150x0;q=50;f=webp;,Diesel,Automatic,2022,19480.0,Land Rover
5226,Toyota Land Cruiser,https://www.olx.in/item/cars-c84-used-toyota-land-cruiser-in-vikaspuri-delhi-iid-1830237079?rank=2,Vikaspuri,23099999,https://apollo.olx.in:443/v1/files/nxcokpmzai4q1-IN/image;s=150x0;q=50;f=webp;,Petrol,Automatic,2024,17000.0,Toyota
5267,Mercedes-Benz GLS,https://www.olx.in/item/cars-c84-used-mercedes-benz-gls-in-vikaspuri-delhi-iid-1834648677?rank=4,Vikaspuri,11900000,https://apollo.olx.in:443/v1/files/q1w8mm0vnvij1-IN/image;s=150x0;q=50;f=webp;,Diesel,Automatic,2025,15000.0,Mercedes-Benz
5593,Ford Mustang,https://www.olx.in/item/cars-c84-used-ford-mustang-in-kirti-nagar-delhi-iid-1830361712?rank=12,Kirti Nagar,11750000,https://apollo.olx.in:443/v1/files/l06srrir3rp72-IN/image;s=150x0;q=50;f=webp;,Petrol,Automatic,2025,15000.0,Ford
5615,Ford Mustang,https://www.olx.in/item/cars-c84-used-ford-mustang-in-kirti-nagar-delhi-iid-1833022015?rank=34,Kirti Nagar,11595000,https://apollo.olx.in:443/v1/files/4sz5sah76wih3-IN/image;s=150x0;q=50;f=webp;,Petrol,Automatic,2025,15000.0,Ford
5652,Ford Mustang,https://www.olx.in/item/cars-c84-used-ford-mustang-in-kanhiya-nagar-delhi-iid-1835274152?rank=31,Kanhiya Nagar,8000000,https://apollo.olx.in:443/v1/files/ximfy2ze7gq22-IN/image;s=150x0;q=50;f=webp;,Petrol,Automatic,2019,25000.0,Ford
6006,Ford Mustang,https://www.olx.in/item/cars-c84-used-ford-mustang-in-ashok-vihar-delhi-iid-1831518297?rank=25,Ashok Vihar,8900000,https://apollo.olx.in:443/v1/files/o1nzcddbaevy-IN/image;s=150x0;q=50;f=webp;,Petrol,Automatic,2019,15000.0,Ford
6172,Ford Mustang,https://www.olx.in/item/cars-c84-used-ford-mustang-in-sector-15a-noida-iid-1836260136?rank=31,Sector 15A,8800000,https://apollo.olx.in:443/v1/files/z890ciprt39k1-IN/image;s=150x0;q=50;f=webp;,Petrol,Automatic,2019,15000.0,Ford
6216,Ford Mustang,https://www.olx.in/item/cars-c84-used-ford-mustang-in-chittaranjan-park-delhi-iid-1835637817?rank=35,Chittaranjan Park,8800000,https://apollo.olx.in:443/v1/files/6mx32gq7xl603-IN/image;s=150x0;q=50;f=webp;,Petrol,Automatic,2019,15000.0,Ford
7195,Toyota Land Cruiser,https://www.olx.in/item/cars-c84-used-toyota-land-cruiser-in-vikaspuri-delhi-iid-1823305265?rank=22,Vikaspuri,23100000,https://apollo.olx.in:443/v1/files/1mlswo34r5dh3-IN/image;s=150x0;q=50;f=webp;,Petrol,Automatic,2024,21000.0,Toyota
7198,Land Rover Range Rover,https://www.olx.in/item/cars-c84-used-land-rover-range-rover-in-rajouri-garden-delhi-iid-1835238265?rank=25,Rajouri Garden,19475000,https://apollo.olx.in:443/v1/files/porkz8aiem6s-IN/image;s=150x0;q=50;f=webp;,Diesel,Automatic,2023,35500.0,Land Rover
7273,Porsche Cayenne,https://www.olx.in/item/cars-c84-used-porsche-cayenne-in-rajouri-garden-delhi-iid-1835221254?rank=27,Rajouri Garden,13475000,https://apollo.olx.in:443/v1/files/x35iono4ugu33-IN/image;s=150x0;q=50;f=webp;,Petrol,Automatic,2023,3720.0,Porsche
7368,Mercedes-Benz G Class,https://www.olx.in/item/cars-c84-used-mercedes-benz-g-class-in-rajouri-garden-delhi-iid-1835218262?rank=3,Rajouri Garden,24975000,https://apollo.olx.in:443/v1/files/w9aaun363ypq-IN/image;s=150x0;q=50;f=webp;,Diesel,Automatic,2023,24000.0,Mercedes-Benz
7440,Mercedes-Benz GLE,https://www.olx.in/item/cars-c84-used-mercedes-benz-gle-in-subhash-nagar-delhi-iid-1836347655?rank=39,Subhash Nagar,8100000,https://apollo.olx.in:443/v1/files/b5xu4hviqhmt1-IN/image;s=150x0;q=50;f=webp;,Diesel,Automatic,2023,19000.0,Mercedes-Benz
7512,Land Rover Defender,https://www.olx.in/item/cars-c84-used-land-rover-defender-in-rajouri-garden-delhi-iid-1835209494?rank=32,Rajouri Garden,11775000,https://apollo.olx.in:443/v1/files/qd9807nano5r-IN/image;s=150x0;q=50;f=webp;,Petrol,Automatic,2024,10800.0,Land Rover
7538,Land Rover Range Rover Sport,https://www.olx.in/item/cars-c84-used-land-rover-range-rover-sport-in-rajouri-garden-delhi-iid-1835208076?rank=19,Rajouri Garden,12975000,https://apollo.olx.in:443/v1/files/9s7abofwya0i-IN/image;s=150x0;q=50;f=webp;,Diesel,Automatic,2022,19480.0,Land Rover
7728,Nissan PATROL,https://www.olx.in/item/cars-c84-used-nissan-patrol-in-ashok-vihar-delhi-iid-1833082450?rank=9,Ashok Vihar,25500000,https://apollo.olx.in:443/v1/files/lapk7kal4p6o-IN/image;s=150x0;q=50;f=webp;,Petrol,Automatic,2025,200.0,Nissan
8028,Mercedes-Benz AMG GLE Coupe,https://www.olx.in/item/cars-c84-used-mercedes-benz-amg-gle-coupe-in-rajouri-garden-delhi-iid-1836649741?rank=22,Rajouri Garden,12900000,https://apollo.olx.in:443/v1/files/mta7txri1a2y1-IN/image;s=150x0;q=50;f=webp;,Petrol,Automatic,2025,9700.0,Mercedes-Benz
8050,Porsche Cayenne,https://www.olx.in/item/cars-c84-used-porsche-cayenne-in-rajouri-garden-delhi-iid-1835221254?rank=4,Rajouri Garden,13475000,https://apollo.olx.in:443/v1/files/x35iono4ugu33-IN/image;s=150x0;q=50;f=webp;,Petrol,Automatic,2023,3720.0,Porsche
8065,Mercedes-Benz E-Class,https://www.olx.in/item/cars-c84-used-mercedes-benz-e-class-in-rajouri-garden-delhi-iid-1836353898?rank=19,Rajouri Garden,8000000,https://apollo.olx.in:443/v1/files/d1qr2exq5a3d1-IN/image;s=150x0;q=50;f=webp;,Petrol,Automatic,2026,500.0,Mercedes-Benz
8148,Land Rover Defender,https://www.olx.in/item/cars-c84-used-land-rover-defender-in-paschim-vihar-delhi-iid-1836350387?rank=23,Paschim Vihar,12950000,https://apollo.olx.in:443/v1/files/w5mzaysus73f2-IN/image;s=150x0;q=50;f=webp;,Petrol,Automatic,2026,120.0,Land Rover
8152,Mercedes-Benz G Class,https://www.olx.in/item/cars-c84-used-mercedes-benz-g-class-in-rajouri-garden-delhi-iid-1835218262?rank=27,Rajouri Garden,24975000,https://apollo.olx.in:443/v1/files/w9aaun363ypq-IN/image;s=150x0;q=50;f=webp;,Diesel,Automatic,2023,24000.0,Mercedes-Benz
8190,Mercedes-Benz Maybach S-Class,https://www.olx.in/item/cars-c84-used-mercedes-benz-maybach-s-class-in-rajouri-garden-delhi-iid-1835216313?rank=25,Rajouri Garden,18975000,https://apollo.olx.in:443/v1/files/is1ao1nt9hy81-IN/image;s=150x0;q=50;f=webp;,Petrol,Automatic,2022,22100.0,Mercedes-Benz
8219,Mercedes-Benz GLE,https://www.olx.in/item/cars-c84-used-mercedes-benz-gle-in-subhash-nagar-delhi-iid-1836347655?rank=17,Subhash Nagar,8100000,https://apollo.olx.in:443/v1/files/b5xu4hviqhmt1-IN/image;s=150x0;q=50;f=webp;,Diesel,Automatic,2023,19000.0,Mercedes-Benz
8297,Land Rover Defender,https://www.olx.in/item/cars-c84-used-land-rover-defender-in-rajouri-garden-delhi-iid-1835209494?rank=19,Rajouri Garden,11775000,https://apollo.olx.in:443/v1/files/qd9807nano5r-IN/image;s=150x0;q=50;f=webp;,Petrol,Automatic,2024,10800.0,Land Rover
8326,Land Rover Range Rover Sport,https://www.olx.in/item/cars-c84-used-land-rover-range-rover-sport-in-rajouri-garden-delhi-iid-1835208076?rank=11,Rajouri Garden,12975000,https://apollo.olx.in:443/v1/files/9s7abofwya0i-IN/image;s=150x0;q=50;f=webp;,Diesel,Automatic,2022,19480.0,Land Rover
8434,BMW M2,https://www.olx.in/item/cars-c84-used-bmw-m2-in-rajouri-garden-delhi-iid-1829591349?rank=2,Rajouri Garden,9900000,https://apollo.olx.in:443/v1/files/8pilcyqu2r012-IN/image;s=150x0;q=50;f=webp;,Petrol,Automatic,2024,2500.0,BMW
8471,BMW Z4,https://www.olx.in/item/cars-c84-used-bmw-z4-in-paschim-vihar-delhi-iid-1836966484?rank=39,Paschim Vihar,9400000,https://apollo.olx.in:443/v1/files/4nbr5dxvow3v-IN/image;s=150x0;q=50;f=webp;,Petrol,Automatic,2024,800.0,BMW
