Title,Link,Location,Price,Information,Image,Detail,Brand
Hyundai Verna,https://www.olx.in/item/cars-c84-used-hyundai-verna-in-ramesh-nagar-delhi-iid-1834741362?rank=29,Ramesh Nagar,"₹ 3,95,000","2016 - 79,500 km",https://apollo.olx.in:443/v1/files/2qihxikjq9yc3-IN/image;s=150x0;q=50;f=webp;,"Petrol , Manual",maruti suzuki
Kia Seltos,https://www.olx.in/item/cars-c84-used-kia-seltos-in-rajouri-garden-delhi-iid-1837077682?rank=30,Rajouri Garden,"₹ 7,35,000","2019 - 72,000 km",https://apollo.olx.in:443/v1/files/wvn5eo951oor2-IN/image;s=150x0;q=50;f=webp;,"Petrol , Manual",maruti suzuki
Ford Endeavour,https://www.olx.in/item/cars-c84-used-ford-endeavour-in-pitampura-delhi-iid-1830912548?rank=31,Pitampura,"₹ 18,00,000","2016 - 400,000 km",https://apollo.olx.in:443/v1/files/55o1bnmmfgc32-IN/image;s=150x0;q=50;f=webp;,"Diesel , Manual",maruti suzuki
Mahindra XUV500,https://www.olx.in/item/cars-c84-used-mahindra-xuv500-in-ramesh-nagar-delhi-iid-1836570581?rank=32,Ramesh Nagar,"₹ 6,75,000","2018 - 61,200 km",https://apollo.olx.in:443/v1/files/a5dbn48x2jrg-IN/image;s=150x0;q=50;f=webp;,"Diesel , Manual",maruti suzuki
Mahindra XUV500,https://www.olx.in/item/cars-c84-used-mahindra-xuv500-in-ramesh-nagar-delhi-iid-1836671262?rank=33,Ramesh Nagar,"₹ 4,19,500","2016 - 99,500 km",https://apollo.olx.in:443/v1/files/c5p96ap9war23-IN/image;s=150x0;q=50;f=webp;,"Diesel , Manual",maruti suzuki
Honda City,https://www.olx.in/item/cars-c84-used-honda-city-in-ramesh-nagar-delhi-iid-1836671535?rank=34,Ramesh Nagar,"₹ 7,51,000","2020 - 91,800 km",https://apollo.olx.in:443/v1/files/rqvq70gkicp-IN/image;s=150x0;q=50;f=webp;,"Petrol , Manual",maruti suzuki
Honda City,https://www.olx.in/item/cars-c84-used-honda-city-in-ramesh-nagar-delhi-iid-1836673135?rank=35,Ramesh Nagar,"₹ 6,45,000","2017 - 69,900 km",https://apollo.olx.in:443/v1/files/p4pk694l2oxl2-IN/image;s=150x0;q=50;f=webp;,"Petrol , Automatic",maruti suzuki
MG Hector,https://www.olx.in/item/cars-c84-used-mg-hector-in-ramesh-nagar-delhi-iid-1836840754?rank=36,Ramesh Nagar,"₹ 8,95,000","2021 - 74,500 km",https://apollo.olx.in:443/v1/files/978g0zt1x9qs-IN/image;s=150x0;q=50;f=webp;,"Diesel , Manual",maruti suzuki
Mahindra XUV 300,https://www.olx.in/item/cars-c84-used-mahindra-xuv-300-in-ramesh-nagar-delhi-iid-1836840823?rank=37,Ramesh Nagar,"₹ 6,51,000","2020 - 74,300 km",https://apollo.olx.in:443/v1/files/mf6cwp9alhv73-IN/image;s=150x0;q=50;f=webp;,"Diesel , Manual",maruti suzuki
Ford Endeavour,https://www.olx.in/item/cars-c84-used-ford-endeavour-in-pitampura-delhi-iid-1833926067?rank=38,Pitampura,"₹ 18,00,000","2016 - 400,000 km",https://apollo.olx.in:443/v1/files/krk9gr392sgu2-IN/image;s=150x0;q=50;f=webp;,"Diesel , Manual",maruti suzuki
