Title,Link,Location,Price,Information,Image,Brand
BMW X5,https://www.olx.in/item/cars-c84-used-bmw-x5-in-mumbai-central-mumbai-iid-1833080664?rank=22,Mumbai CentralToday,"₹ 84,95,000","2024 - 30,000 km",https://apollo.olx.in:443/v1/files/qcldqw372sk01-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Jaguar XJ,https://www.olx.in/item/cars-c84-used-jaguar-xj-in-vile-parle-east-mumbai-iid-1833080080?rank=23,Vile Parle EastToday,"₹ 10,99,000","2011 - 65,000 km",https://apollo.olx.in:443/v1/files/c5sg9lwe9ea53-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Hyundai Tucson,https://www.olx.in/item/cars-c84-used-hyundai-tucson-in-bandra-kurla-complex-mumbai-iid-1833079791?rank=24,Bandra Kurla ComplexToday,"₹ 19,90,000","2023 - 16,000 km",https://apollo.olx.in:443/v1/files/q0ow0jzo773r2-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Toyota Innova Crysta,https://www.olx.in/item/cars-c84-used-toyota-innova-crysta-in-kolathur-kannagi-nagar-chennai-iid-1836524238?rank=25,Kolathur Kannagi NagarToday,"₹ 22,75,000","2022 - 190,000 km",https://apollo.olx.in:443/v1/files/ld0c3fsf8evf3-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Mahindra Thar,https://www.olx.in/item/cars-c84-used-mahindra-thar-in-dlf-city-phase-4-gurgaon-iid-1836252945?rank=26,DLF City Phase 4,"₹ 10,80,000","2021 - 34,000 km",https://apollo.olx.in:443/v1/files/fhok8syphvph-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Maruti Suzuki Dzire,https://www.olx.in/item/cars-c84-used-maruti-suzuki-dzire-in-sirson-ki-dhani-kuchaman-city-iid-1836063679?rank=27,Sirson Ki DhaniToday,"₹ 5,40,000","2020 - 115,054 km",https://apollo.olx.in:443/v1/files/a5j14mbiy2ve3-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Maruti Suzuki Alto-800,https://www.olx.in/item/cars-c84-used-maruti-suzuki-alto-800-in-sirson-ki-dhani-kuchaman-city-iid-1836063281?rank=28,Sirson Ki DhaniToday,"₹ 3,70,000","2021 - 96,693 km",https://apollo.olx.in:443/v1/files/kt8hm3xdexmk3-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Maruti Suzuki Swift,https://www.olx.in/item/cars-c84-used-maruti-suzuki-swift-in-frontier-colony-jaipur-iid-1836063142?rank=29,Frontier Colony,"₹ 4,25,000","2017 - 67,786 km",https://apollo.olx.in:443/v1/files/ie8y5estpo7f-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Maruti Suzuki Swift-Dzire-Tour,https://www.olx.in/item/cars-c84-used-maruti-suzuki-swift-dzire-tour-in-rajakulipettia-chengalpattu-iid-1835120455?rank=30,RajakulipettiaToday,"₹ 8,25,000","2025 - 26,000 km",https://apollo.olx.in:443/v1/files/6ck7o1uj1a551-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Kia Carnival,https://www.olx.in/item/cars-c84-used-kia-carnival-in-velacheri-chennai-iid-1836970090?rank=31,VelacheriToday,"₹ 18,99,999","2020 - 147,000 km",https://apollo.olx.in:443/v1/files/agaer0gcww3b1-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
