,Title,Link,Location,Price,Image,Fuel Type,Type,Year,Kms Covered,Brand,Region Info,price_display
40,Maruti IGNIS,https://www.cars24.com/buy-used-maruti-ignis-2018-cars-gurgaon-10157800704/,"Udyog Vihar, Sector 18, Gurgaon",279000.0,"https://media.cars24.com/hello-ar/dev/transformed/uploads/no_bg/505e814e-c6af-11f0-bd4c-02ede2007fbe/dbb623d8-67ee-4411-b1cf-002134e35763/b47f21ab-3c85-4920-98d5-720ac3a15711/b059d193-9d9c-4993-8672-2d390e6f8f34/slot/camera-SRP.png?w=200&format=auto&dpr=2&pad=48,0,0,0&trim-color=auto",Petrol,Manual,2018,50966.0,Maruti,HR-02,"₹ 2,79,000"
41,Maruti IGNIS,https://www.cars24.com/buy-used-maruti-ignis-2018-cars-new-delhi-10043664740/,"Metro Walk, Rohini, New Delhi",302000.0,"https://media.cars24.com/hello-ar/dev/transformed/uploads/no_bg/6eabdcfa-19ed-11f1-bd51-02ede2007fbe/79182240-67f8-4429-9290-7ff5c44fd3a6/d9a225b6-8e2e-4f67-8557-2f653d61b00e/667dccfb-dcdc-4120-b853-a0b98fde9da5/slot/1.png?w=200&format=auto&dpr=2&pad=48,0,0,0&trim-color=auto",Petrol,Manual,2018,37444.0,Maruti,DL-6C,"₹ 3,02,000"
42,Maruti IGNIS,https://www.cars24.com/buy-used-maruti-ignis-2021-cars-noida-10593866722/,"Sector-18, Noida",342000.0,"https://media.cars24.com/hello-ar/dev/transformed/uploads/no_bg/f401e52c-12fc-11f1-bd51-02ede2007fbe/696da100-d94d-4df0-a265-2a52fcb08791/07de605c-bd8d-4975-b19f-96617c776db6/6564bb6f-9466-4dcc-9f33-f400867493d3/slot/1.png?w=200&format=auto&dpr=2&pad=48,0,0,0&trim-color=auto",Petrol,Manual,2021,21082.0,Maruti,UP-61,"₹ 3,42,000"
43,Maruti IGNIS,https://www.cars24.com/buy-used-maruti-ignis-2017-cars-new-delhi-10074064715/,"Metro Walk, Rohini, New Delhi",272000.0,"https://media.cars24.com/hello-ar/dev/transformed/uploads/no_bg/d3caf926-19ee-11f1-bd51-02ede2007fbe/92d769e9-6c3a-451f-9722-a195d1c4892c/a6bfafa2-ee7c-4a03-b76b-cd91162576fe/81a9e2cd-2291-4370-b94f-9b24a7248123/slot/camera-SRP.png?w=200&format=auto&dpr=2&pad=48,0,0,0&trim-color=auto",Petrol,Manual,2017,86456.0,Maruti,DL-8C,"₹ 2,72,000"
44,Maruti IGNIS,https://www.cars24.com/buy-used-maruti-ignis-2017-cars-new-delhi-10083204741/,Tukhmirpur Delhi,250000.0,"https://marketplace-cdn.cars24.com/production/10083204741/main image/2026-01-21/car_replace_bg_3cd02c53-c164-47a2-a007-dd56734875d0.png?w=200&format=auto&dpr=2&pad=48,0,0,0&trim-color=auto",Petrol,Manual,2017,135799.0,Maruti,MP-07,"₹ 2,50,000"
45,Maruti IGNIS,https://www.cars24.com/buy-used-maruti-ignis-2018-cars-new-delhi-10058569752/,Delhi India Ganeshlev,319000.0,"https://marketplace-cdn.cars24.com/production/10058569752/main image/2026-01-05/car_replace_bg_512b7cce-5808-4347-b806-cc208f3bcabd.png?w=200&format=auto&dpr=2&pad=48,0,0,0&trim-color=auto",CNG,Automatic,2018,82301.0,Maruti,DL-12,"₹ 3,19,000"
46,Maruti IGNIS,https://www.cars24.com/buy-used-maruti-ignis-2018-cars-noida-10597761743/,Nirala Aspire Nirala Aspire Greater Noida,336000.0,"https://marketplace-cdn.cars24.com/production/10597761743/main image/2026-02-22/car_replace_bg_bb32d8bd-e572-40cf-8ec0-e1d1be569351.png?w=200&format=auto&dpr=2&pad=48,0,0,0&trim-color=auto",Petrol,Automatic,2018,41845.0,Maruti,DL-9C,"₹ 3,36,000"
47,Maruti IGNIS,https://www.cars24.com/buy-used-maruti-ignis-2017-cars-faridabad-11035660710/,Sector 88 Faridabad,290000.0,"https://marketplace-cdn.cars24.com/production/11035660710/main image/2025-12-28/car_replace_bg_6e9e2ae9-47c0-4f3c-a266-eb2e11d98374.png?w=200&format=auto&dpr=2&pad=48,0,0,0&trim-color=auto",Petrol,Automatic,2017,80731.0,Maruti,DL-3C,"₹ 2,90,000"
48,Maruti IGNIS,https://www.cars24.com/buy-used-maruti-ignis-2020-cars-new-delhi-10090063737/,D24 Mansarover Garden Delhi,382000.0,"https://marketplace-cdn.cars24.com/production/10090063737/main image/2026-02-05/car_replace_bg_4fb9d260-bc11-4ac8-94b9-71d3d70dc4b6.png?w=200&format=auto&dpr=2&pad=48,0,0,0&trim-color=auto",Petrol,Manual,2020,57544.0,Maruti,DL-9C,"₹ 3,82,000"
49,Maruti IGNIS,https://www.cars24.com/buy-used-maruti-ignis-2020-cars-gurgaon-10114064744/,Tower 6 Flat 608 AVL Society Sector 36A Muhammadpur CPR Gurgaon,370000.0,"https://marketplace-cdn.cars24.com/visio/prod/10114064744/mainimage/FrontRightSide-Transparent/shadowBackground/17727041829567TVVCR.webp?w=200&format=auto&dpr=2&pad=48,0,0,0&trim-color=auto",Petrol,Manual,2020,54984.0,Maruti,HR-26,"₹ 3,70,000"
50,Maruti IGNIS,https://www.cars24.com/buy-used-maruti-ignis-2022-cars-new-delhi-10063364746/,Near kapil jewellers Near kapil jewellers Delhi,488000.0,"https://marketplace-cdn.cars24.com/production/10063364746/main image/2026-02-28/car_replace_bg_b6ec2f34-c107-4eee-9521-d0b0e1080d39.png?w=200&format=auto&dpr=2&pad=48,0,0,0&trim-color=auto",CNG,Manual,2022,23625.0,Maruti,DL-9C,"₹ 4,88,000"
